GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,Owner Occupier with Mortgage (Households),Owner Occupier No Mortgage (Households),Private Rented,Social Rented,Rented Free of Rent (Households),Total (Households),% Owner Occupier with Mortgage (Households),% Owner Occupier No Mortgage (Households),% Private Rented,% Social Rented,% Rented Free of Rent (Households),% Total (Households)
N00000405,18893,Keady,95CC11,Armagh,NI,22,21,28,29,4,105,21,20,26.7,27.6,3.8,100
N00000406,18894,Killeen,95CC12,Armagh,NI,41,67,3,4,5,121,33.9,55.4,2.5,3.3,4.1,100
N00000407,18895,Killeen,95CC12,Armagh,NI,142,151,27,15,9,344,41.3,43.9,7.8,4.4,2.6,100
N00000408,18896,Killeen,95CC12,Armagh,NI,44,89,4,1,8,146,30.1,61,2.7,0.7,5.5,100
N00000409,18897,Killeen,95CC12,Armagh,NI,48,64,12,14,5,143,33.6,44.8,8.4,9.8,3.5,100
N00000410,18898,Killeen,95CC12,Armagh,NI,33,92,6,0,5,136,24.3,67.6,4.4,0,3.7,100
N00000411,18899,Killylea,95CC13,Armagh,NI,43,53,12,18,2,128,33.6,41.4,9.4,14.1,1.6,100
N00000412,18900,Killylea,95CC13,Armagh,NI,48,72,9,4,4,138,34.8,52.2,6.5,2.9,2.9,100
N00000413,18901,Killylea,95CC13,Armagh,NI,54,67,6,1,3,131,41.2,51.1,4.6,0.8,2.3,100
N00000414,18902,Killylea,95CC13,Armagh,NI,45,62,9,5,4,125,36,49.6,7.2,4,3.2,100
N00000415,18903,Killylea,95CC13,Armagh,NI,51,63,20,22,6,162,31.5,38.9,12.3,13.6,3.7,100
N00000416,18904,Killylea,95CC13,Armagh,NI,50,68,12,0,3,133,37.6,51.1,9,0,2.3,100
N00000417,18905,Laurelvale,95CC14,Armagh,NI,112,46,26,0,1,187,59.9,24.6,13.9,0,0.5,100
N00000418,18906,Laurelvale,95CC14,Armagh,NI,131,116,47,15,4,313,41.9,37.1,15,4.8,1.3,100
N00000419,18907,Laurelvale,95CC14,Armagh,NI,44,74,14,2,5,139,31.7,53.2,10.1,1.4,3.6,100
N00000420,18908,Laurelvale,95CC14,Armagh,NI,47,74,9,4,4,138,34.1,53.6,6.5,2.9,2.9,100
N00000421,18909,Laurelvale,95CC14,Armagh,NI,104,59,18,1,2,185,56.2,31.9,9.7,0.5,1.1,100
N00000422,18910,Laurelvale,95CC14,Armagh,NI,53,63,28,22,4,170,31.2,37.1,16.5,12.9,2.4,100
N00000423,18911,Loughgall,95CC15,Armagh,NI,60,78,11,0,3,152,39.5,51.3,7.2,0,2,100
N00000424,18912,Loughgall,95CC15,Armagh,NI,70,67,25,13,4,180,38.9,37.2,13.9,7.2,2.2,100
N00000425,18913,Loughgall,95CC15,Armagh,NI,60,50,5,1,5,121,49.6,41.3,4.1,0.8,4.1,100
N00000426,18914,Loughgall,95CC15,Armagh,NI,31,49,20,17,5,123,25.2,39.8,16.3,13.8,4.1,100
N00000427,18915,Loughgall,95CC15,Armagh,NI,44,51,20,13,2,133,33.1,38.3,15,9.8,1.5,100
N00000428,18916,Loughgall,95CC15,Armagh,NI,61,54,10,17,4,146,41.8,37,6.8,11.6,2.7,100
N00000429,18917,Loughgall,95CC15,Armagh,NI,51,75,19,0,7,152,33.6,49.3,12.5,0,4.6,100
N00000430,18918,Markethill,95CC16,Armagh,NI,51,92,8,1,2,154,33.1,59.7,5.2,0.6,1.3,100
N00000431,18919,Markethill,95CC16,Armagh,NI,46,51,17,21,2,137,33.6,37.2,12.4,15.3,1.5,100
N00000432,18920,Markethill,95CC16,Armagh,NI,31,43,11,25,8,118,26.3,36.4,9.3,21.2,6.8,100
N00000433,18921,Markethill,95CC16,Armagh,NI,22,38,42,30,8,141,15.6,27,29.8,21.3,5.7,100
N00000434,18922,Markethill,95CC16,Armagh,NI,45,55,41,28,10,179,25.1,30.7,22.9,15.6,5.6,100
N00000435,18923,Markethill,95CC16,Armagh,NI,59,38,36,30,9,173,34.1,22,20.8,17.3,5.2,100
N00000436,18924,Markethill,95CC16,Armagh,NI,64,84,23,0,2,174,36.8,48.3,13.2,0,1.1,100
N00000437,18925,Milford,95CC17,Armagh,NI,113,66,14,0,2,195,57.9,33.8,7.2,0,1,100
N00000438,18926,Milford,95CC17,Armagh,NI,65,78,4,0,6,153,42.5,51,2.6,0,3.9,100
N00000439,18927,Milford,95CC17,Armagh,NI,43,73,12,0,6,134,32.1,54.5,9,0,4.5,100
N00000440,18928,Milford,95CC17,Armagh,NI,49,54,13,5,6,127,38.6,42.5,10.2,3.9,4.7,100
N00000441,18929,Milford,95CC17,Armagh,NI,40,57,22,0,2,121,33.1,47.1,18.2,0,1.7,100
N00000442,18930,Milford,95CC17,Armagh,NI,65,53,44,2,2,167,38.9,31.7,26.3,1.2,1.2,100
N00000443,18931,Observatory,95CC18,Armagh,NI,78,60,19,2,5,164,47.6,36.6,11.6,1.2,3,100
N00000444,18932,Observatory,95CC18,Armagh,NI,51,80,54,62,9,257,19.8,31.1,21,24.1,3.5,100
N00000445,18933,Observatory,95CC18,Armagh,NI,57,65,14,2,3,141,40.4,46.1,9.9,1.4,2.1,100
N00000446,18934,Observatory,95CC18,Armagh,NI,55,54,16,3,2,130,42.3,41.5,12.3,2.3,1.5,100
N00000447,18935,Observatory,95CC18,Armagh,NI,24,62,12,13,6,117,20.5,53,10.3,11.1,5.1,100
N00000448,18936,Observatory,95CC18,Armagh,NI,11,29,27,48,12,128,8.6,22.7,21.1,37.5,9.4,100
N00000449,18937,Poyntz Pass,95CC19,Armagh,NI,49,86,7,1,3,146,33.6,58.9,4.8,0.7,2.1,100
N00000450,18938,Poyntz Pass,95CC19,Armagh,NI,74,73,20,5,6,178,41.6,41,11.2,2.8,3.4,100
N00000451,18939,Poyntz Pass,95CC19,Armagh,NI,79,49,42,13,6,189,41.8,25.9,22.2,6.9,3.2,100
N00000452,18940,Poyntz Pass,95CC19,Armagh,NI,53,81,13,4,6,157,33.8,51.6,8.3,2.5,3.8,100
N00000453,18941,Poyntz Pass,95CC19,Armagh,NI,24,46,10,62,7,149,16.1,30.9,6.7,41.6,4.7,100
N00000454,18942,Poyntz Pass,95CC19,Armagh,NI,65,80,11,2,3,162,40.1,49.4,6.8,1.2,1.9,100
N00000455,18943,Rich Hill,95CC20,Armagh,NI,36,35,19,17,3,111,32.4,31.5,17.1,15.3,2.7,100
N00000456,18944,Rich Hill,95CC20,Armagh,NI,53,53,5,2,5,118,44.9,44.9,4.2,1.7,4.2,100
N00000457,18945,Rich Hill,95CC20,Armagh,NI,61,51,12,0,1,126,48.4,40.5,9.5,0,0.8,100
N00000458,18946,Rich Hill,95CC20,Armagh,NI,44,77,7,0,1,129,34.1,59.7,5.4,0,0.8,100
N00000459,18947,Rich Hill,95CC20,Armagh,NI,111,79,35,18,2,247,44.9,32,14.2,7.3,0.8,100
N00000460,18948,Rich Hill,95CC20,Armagh,NI,51,38,30,16,2,138,37,27.5,21.7,11.6,1.4,100
N00000461,18949,Rich Hill,95CC20,Armagh,NI,70,70,13,3,0,157,44.6,44.6,8.3,1.9,0,100
N00000462,18950,Rich Hill,95CC20,Armagh,NI,27,27,14,30,3,101,26.7,26.7,13.9,29.7,3,100
N00000463,18951,Tandragee,95CC21,Armagh,NI,97,94,92,49,7,343,28.3,27.4,26.8,14.3,2,100
N00000464,18952,Tandragee,95CC21,Armagh,NI,84,49,8,11,3,156,53.8,31.4,5.1,7.1,1.9,100
N00000465,18953,Tandragee,95CC21,Armagh,NI,47,36,13,31,1,129,36.4,27.9,10.1,24,0.8,100
